,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,년도,경기타입
18,19,조현,한화,0.200,0,0,0,2,0,0.200,0.200,0.400,0,0.000,0.250,2002,KBO 정규시즌
19,20,김종석,한화,0.188,22,1,0,41,6,0.269,0.273,0.542,8,0.260,0.240,2002,KBO 정규시즌
20,21,신국환,한화,0.167,0,0,0,2,1,0.167,0.143,0.310,0,0.000,0.000,2002,KBO 정규시즌
21,21,조정권,한화,0.167,0,0,0,4,0,0.167,0.167,0.334,0,0.000,0.000,2002,KBO 정규시즌
22,23,송혁,한화,0.100,2,0,0,3,0,0.100,0.250,0.350,0,0.000,0.100,2002,KBO 정규시즌
23,24,채상병,한화,0.063,0,0,1,11,1,0.125,0.091,0.216,0,0.333,0.000,2002,KBO 정규시즌
24,25,김대원,한화,0.000,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
25,25,김백만,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
26,25,김병준,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
27,25,김장백,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
28,25,김정수,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
29,25,김홍집,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
0,25,마정길,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
1,25,박정진,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
2,25,방진호,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
3,25,서창호,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
4,25,송진우,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
5,25,이상목,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
6,25,임주택,한화,0.000,0,0,0,3,0,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
7,25,정성열,한화,0.000,0,0,0,2,1,0.000,0.000,0.000,0,0.000,0.000,2002,KBO 정규시즌
8,25,조규수,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
9,25,지승민,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
10,25,최영필,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
11,25,파라,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
12,25,피코타,한화,-,0,0,0,0,0,-,-,-,0,0.000,0.000,2002,KBO 정규시즌
