,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,년도,경기타입
13,14,송원국,두산,0.200,8,17,15,3,0,0,0,0,2002,KBO 와일드카드
14,14,유재웅,두산,0.200,10,22,20,4,1,0,1,1,2002,KBO 와일드카드
15,16,우즈,두산,0.160,8,27,25,4,0,0,2,8,2002,KBO 와일드카드
16,17,김호,두산,0.143,8,14,14,2,1,0,0,1,2002,KBO 와일드카드
17,18,고영민,두산,0.000,6,3,2,0,0,0,0,0,2002,KBO 와일드카드
18,18,이대현,두산,0.000,4,2,2,0,0,0,0,0,2002,KBO 와일드카드
19,18,이민택,두산,0.000,1,1,1,0,0,0,0,0,2002,KBO 와일드카드
20,18,이혜천,두산,-,1,0,0,0,0,0,0,0,2002,KBO 와일드카드
0,1,김재구,SK,0.429,15,15,14,6,0,0,1,5,2002,KBO 시범경기
1,2,이진영,SK,0.308,128,475,419,129,22,8,13,40,2002,KBO 시범경기
2,3,안재만,SK,0.294,5,20,17,5,1,0,1,2,2002,KBO 시범경기
3,4,채종범,SK,0.291,127,557,478,139,19,2,17,68,2002,KBO 시범경기
4,5,이호준,SK,0.288,129,499,444,128,24,2,23,64,2002,KBO 시범경기
5,6,잉글린,SK,0.282,78,279,248,70,18,0,6,36,2002,KBO 시범경기
6,7,정경배,SK,0.281,75,174,153,43,11,1,2,14,2002,KBO 시범경기
7,8,페르난데스,SK,0.281,132,556,499,140,24,0,45,107,2002,KBO 시범경기
8,9,조원우,SK,0.269,116,329,297,80,8,2,8,36,2002,KBO 시범경기
